8_Digit_Code,15 Digit Code,Product Type Assembled,15 digit code Assembled,Description,Item,SAP_IT_Component,Description,Q.ty,UM,Weight,DWG,Noble Part Code,Valid Since ,Valid to ,Mod. N.,Status,DELETED,Modification applied,Material,ABB_Library_Document_Number,ABB_Library_Document_Link_DXF,DXF,ABB_Library_Document_Link_PDF,PDF,Figure,W,D
PBNE1082,1STQ005459B0000,PBNE1082A,1STQ001384M0000,CONN XLI N_N D1000 80X10 3200/4000A,10,863979/021,CONNECTION N 80X10 P1000,1,ST,3.06,863979,,02.11.2017,31.12.9999,IND01780,,,,Copper,1STD000082,http://search.abb.com/library/Download.aspx?DocumentID=1STD000082&LanguageCode=de&LanguageCode=en&LanguageCode=it&DocumentPartId=dxf&Action=Launch,1STD000082,http://search.abb.com/library/Download.aspx?DocumentID=1STD000082&LanguageCode=de&LanguageCode=en&LanguageCode=it&DocumentPartId=pdf&Action=Launch,1STD000082,21,80,10
PBNE1082,1STQ005459B0000,PBNE1082A,1STQ001384M0000,CONN XLI N_N D1000 80X10 3200/4000A,20,VTE8X30,SCREW TE 4.8 UNI5739-DIN933 8X30,2,ST,0.03,,,02.11.2017,31.12.9999,IND01780,,,,Standard,,,,,,,,
PBNE1082,1STQ005459B0000,PBNE1082A,1STQ001384M0000,CONN XLI N_N D1000 80X10 3200/4000A,30,DM8,NUT E-8-U5588-D934 M8,2,ST,0.01,,,02.11.2017,31.12.9999,IND01780,,,,Standard,,,,,,,,
PBNE1082,1STQ005459B0000,PBNE1082A,1STQ001384M0000,CONN XLI N_N D1000 80X10 3200/4000A,40,MTZ8,WHASER C60 8.2X20X0.9,2,ST,0.002,,,02.11.2017,31.12.9999,IND01780,,,,Standard,,,,,,,,
PBNE1082,1STQ005459B0000,PBNE1082A,1STQ001384M0000,CONN XLI N_N D1000 80X10 3200/4000A,50,VTE12X50,SCREW TE  U5739 12X50 ZINC COAT.  ,1,ST,0.05,,,02.11.2017,31.12.9999,IND01780,,,,Standard,,,,,,,,
PBNE1082,1STQ005459B0000,PBNE1082A,1STQ001384M0000,CONN XLI N_N D1000 80X10 3200/4000A,60,MTZ12.5,GZN 490 084 P0109 RON.TAZZA D.INT.12.5X3,1,ST,0.003,,,02.11.2017,31.12.9999,IND01780,,,,Standard,,,,,,,,
PBNE1014,1STQ005462B0000,PBNE1014A,1STQ001371M0000,CONN XLI N_N D800 100X10 3200/4000A,10,863979/006,CONNECTION N 50X10 P800 TIPO A,1,ST,2.36,863979,,02.11.2017,31.12.9999,IND01780,,,,Copper,1STD000082,http://search.abb.com/library/Download.aspx?DocumentID=1STD000082&LanguageCode=de&LanguageCode=en&LanguageCode=it&DocumentPartId=dxf&Action=Launch,1STD000082,http://search.abb.com/library/Download.aspx?DocumentID=1STD000082&LanguageCode=de&LanguageCode=en&LanguageCode=it&DocumentPartId=pdf&Action=Launch,1STD000082,6,50,10
PBNE1014,1STQ005462B0000,PBNE1014A,1STQ001371M0000,CONN XLI N_N D800 100X10 3200/4000A,20,863980/006,CONNECTION N 50X10 P800 TIPO B,1,ST,1.83,863980,,02.11.2017,31.12.9999,IND01780,,,,Copper,1STD000083,http://search.abb.com/library/Download.aspx?DocumentID=1STD000083&LanguageCode=de&LanguageCode=en&LanguageCode=it&DocumentPartId=dxf&Action=Launch,1STD000083,http://search.abb.com/library/Download.aspx?DocumentID=1STD000083&LanguageCode=de&LanguageCode=en&LanguageCode=it&DocumentPartId=pdf&Action=Launch,1STD000083,6,50,10
PBNE1014,1STQ005462B0000,PBNE1014A,1STQ001371M0000,CONN XLI N_N D800 100X10 3200/4000A,30,VTE8X50,SCREW TE5739 - DIN933 8X50,2,ST,0.04,,,03.11.2017,31.12.9999,IND01781,,,,Standard,,,,,,,,
PBNE1014,1STQ005462B0000,PBNE1014A,1STQ001371M0000,CONN XLI N_N D800 100X10 3200/4000A,40,DM8,NUT E-8-U5588-D934 M8,2,ST,0.01,,,02.11.2017,31.12.9999,IND01780,,,,Standard,,,,,,,,
